Home Team;Away Team;Score;Half Time Score;Match Excitement;Home Team Rating;Away Team Rating;Home Team Possession %;Away Team Possession %;Home Team Off Target Shots;Home Team On Target Shots;Home Team Total Shots;Home Team Blocked Shots;Home Team Corners;Home Team Throw Ins;Home Team Pass Success %;Home Team Aerials Won;Home Team Clearances;Home Team Fouls;Home Team Yellow Cards;Home Team Second Yellow Cards;Home Team Red Cards;Away Team Off Target Shots;Away Team On Target Shots;Away Team Total Shots;Away Team Blocked Shots;Away Team Corners;Away Team Throw Ins;Away Team Pass Success %;Away Team Aerials Won;Away Team Clearances;Away Team Fouls;Away Team Yellow Cards;Away Team Second Yellow Cards;Away Team Red Cards
ATHLETIC;BARCELONA;1-0;0-0;4.7;7;5.7;28;72;6;5;11;0;3;16;71;16;16;14;1;0;0;6;2;11;3;8;17;86;13;11;9;1;0;0
CELTA;REAL MADRID;1-3;0-1;7.5;4.9;7.3;56;44;2;4;7;1;6;16;89;5;5;17;5;0;0;3;11;17;3;4;19;84;12;15;12;2;0;1
VALENCIA;REAL SOCIEDAD;1-1;0-0;5.6;5.6;6;37;63;4;6;14;4;3;13;82;11;21;13;3;1;0;5;3;12;4;3;22;88;16;11;14;4;0;0
MALLORCA;EIBAR;2-1;1-0;5.8;6.2;5.4;36;64;10;3;15;2;9;25;71;31;31;13;2;0;0;6;5;11;0;3;24;79;32;16;14;3;0;0
LEGAN心;OSASUNA;0-1;0-0;3.3;5.6;6.3;51;49;6;2;13;5;8;37;69;20;10;17;1;0;1;2;2;4;0;0;23;69;30;24;11;4;0;0
VILLARREAL;GRANADA;4-4;1-1;9.4;6.2;6.2;54;46;3;7;12;2;2;18;82;18;17;10;3;0;0;4;7;14;3;7;12;82;13;4;16;1;0;0
ALAV心;LEVANTE;1-0;0-0;3.6;6.5;6;37;63;6;2;9;1;2;24;69;23;35;18;2;0;0;7;4;16;5;9;24;82;17;11;15;1;0;0
ESPANYOL;SEVILLA FC;0-2;0-1;4.6;5.4;6.9;45;55;4;2;7;1;8;23;80;18;13;11;2;0;0;6;4;12;2;4;15;83;17;18;17;2;0;0
REAL BETIS;VALLADOLID;1-2;0-0;6.2;5.5;6.3;47;53;5;4;13;4;6;23;84;7;11;11;2;0;1;7;3;14;4;1;16;85;8;17;19;6;0;0
ATLETICO MADRID;GETAFE;1-0;1-0;3.9;6;4.9;57;43;0;5;5;0;3;21;82;22;14;19;2;1;0;4;0;6;2;4;20;76;21;6;22;4;0;1
GRANADA;SEVILLA FC;0-1;0-0;3.3;5.2;7.2;45;55;7;1;12;5;6;27;76;14;14;13;1;0;0;2;6;11;3;6;18;81;30;22;14;1;0;0
LEVANTE;VILLARREAL;2-1;0-1;6.1;6.1;5.4;49;51;8;4;16;4;7;23;78;10;9;5;1;0;0;13;6;23;4;3;20;82;6;16;9;2;0;0
OSASUNA;EIBAR;0-0;0-0;1.9;5.5;6;48;52;4;2;6;0;6;34;57;33;22;15;4;0;0;8;0;12;4;6;31;59;41;20;12;4;0;0
REAL MADRID;VALLADOLID;1-1;0-0;5.7;6.3;6.3;66;34;18;4;22;0;4;15;91;13;7;12;2;0;0;4;2;9;3;3;10;77;10;15;11;2;0;0
GETAFE;ATHLETIC;1-1;1-1;3.4;5.8;6;47;53;4;2;6;0;4;32;55;24;17;15;2;0;0;1;2;4;1;6;27;62;45;27;11;1;0;0
CELTA;VALENCIA;1-0;1-0;4.3;6.8;5.2;55;45;1;6;11;4;6;17;85;17;17;8;1;0;0;5;1;9;3;4;20;82;13;13;12;2;0;0
MALLORCA;REAL SOCIEDAD;0-1;0-0;4.3;5.8;7;35;65;5;4;12;3;5;27;75;18;14;16;1;0;0;4;4;12;4;5;20;86;13;23;12;2;0;0
ALAV心;ESPANYOL;0-0;0-0;2;6.5;6.5;35;65;7;2;10;1;3;32;77;13;19;13;3;0;0;3;1;5;1;5;23;84;14;20;10;1;0;0
LEGAN心;ATLETICO MADRID;0-1;0-0;4;6;6.2;42;58;4;3;10;3;9;15;71;24;15;12;4;0;0;2;4;6;1;4;19;80;28;26;13;5;0;0
BARCELONA;REAL BETIS;5-2;1-1;7.4;8.4;5.3;70;30;4;7;20;9;11;17;91;7;2;14;1;0;0;0;3;4;1;0;10;78;6;16;12;1;0;0
SEVILLA FC;CELTA;1-1;0-0;4.6;6.6;6.2;63;37;10;5;19;4;9;23;88;17;6;16;4;0;0;0;1;2;1;1;15;82;12;25;9;2;0;0
ATHLETIC;REAL SOCIEDAD;2-0;2-0;3.8;6.8;5.4;39;61;8;5;15;2;3;22;72;12;8;17;2;0;0;0;2;2;0;0;28;80;29;15;17;2;0;0
OSASUNA;BARCELONA;2-2;1-0;7.4;6.3;6.1;25;75;6;5;15;4;3;24;63;20;15;16;3;0;0;1;4;8;3;2;26;87;19;15;9;4;0;0
GETAFE;ALAV心;1-1;1-1;3.7;5.9;5.9;61;39;7;1;15;7;4;30;71;27;9;11;3;0;0;2;1;5;2;2;20;58;30;28;17;1;0;0
LEVANTE;VALLADOLID;2-0;0-0;5.1;6.5;5.4;51;49;9;3;16;4;6;21;77;14;9;9;2;0;0;9;4;15;2;6;21;76;16;22;10;2;0;0
REAL BETIS;LEGAN心;2-1;0-0;7.1;6.1;5.4;68;32;8;5;17;4;11;25;84;20;21;14;4;0;0;6;7;19;6;8;14;66;10;22;15;2;0;0
VALENCIA;MALLORCA;2-0;1-0;4.6;7.4;5.1;51;49;2;4;9;3;7;7;86;10;14;6;0;0;0;6;1;12;5;4;17;89;14;20;19;1;0;0
ESPANYOL;GRANADA;0-3;0-1;5.4;5.2;7.6;67;33;6;3;15;6;8;22;85;19;10;6;2;0;0;3;6;14;5;6;12;67;23;36;13;3;0;0
ATLETICO MADRID;EIBAR;3-2;1-2;6.8;6.7;5.3;57;43;3;3;7;1;1;31;78;24;12;9;0;0;0;4;2;6;0;1;24;67;21;15;15;3;0;0
VILLARREAL;REAL MADRID;2-2;1-1;8.5;6.4;6;44;56;3;5;10;2;1;24;81;12;23;8;1;0;0;10;5;17;2;8;20;89;18;8;14;3;1;0
MALLORCA;ATHLETIC;0-0;0-0;3.2;5;6;47;53;7;1;10;2;4;30;75;16;16;15;4;0;0;5;5;11;1;6;11;77;28;23;18;3;0;0
REAL MADRID;LEVANTE;3-2;3-0;9.2;7.5;4.9;65;35;8;11;25;6;9;20;91;10;15;13;2;0;0;5;3;8;0;6;12;79;8;25;10;2;0;0
LEGAN心;VILLARREAL;0-3;0-2;5.4;4.9;7.5;48;52;2;4;10;4;8;24;81;22;26;14;2;0;0;3;4;8;1;6;25;81;14;25;11;0;0;0
REAL SOCIEDAD;ATLETICO MADRID;2-0;0-0;4.4;7.1;5.4;54;46;6;5;14;3;5;18;81;26;18;13;1;0;0;8;2;12;2;5;20;78;28;10;10;3;0;0
BARCELONA;VALENCIA;5-2;2-1;9;8.3;4.6;65;35;4;10;17;3;2;13;92;5;12;11;1;0;0;4;3;9;2;5;13;85;3;14;11;4;0;0
EIBAR;ESPANYOL;1-2;0-0;4.8;5.5;6.1;58;42;7;1;11;3;7;21;68;29;12;14;2;0;0;5;2;7;0;2;24;56;27;29;16;3;1;0
ALAV心;SEVILLA FC;0-1;0-1;3.7;5.6;6.7;38;62;6;0;7;1;2;22;71;22;25;13;5;0;0;2;7;19;10;6;26;85;15;26;7;5;0;0
CELTA;GRANADA;0-2;0-1;4.1;4.7;6.9;38;62;4;0;4;0;3;12;80;10;17;11;4;0;2;7;3;13;3;5;12;89;12;9;13;2;0;0
VALLADOLID;OSASUNA;1-1;0-0;5.1;6.2;6.5;49;51;4;1;11;6;10;25;75;14;14;9;0;0;0;11;5;17;1;6;19;78;24;18;10;1;0;0
REAL BETIS;GETAFE;1-1;0-1;4.7;5.2;6;61;39;2;2;7;3;5;18;81;20;21;11;3;0;2;3;4;12;5;6;14;65;13;25;28;6;0;0
OSASUNA;REAL BETIS;0-0;0-0;3.1;6.8;5.9;48;52;5;6;12;1;9;29;79;11;11;15;1;0;0;3;2;7;2;4;18;77;14;24;9;2;0;0
VILLARREAL;VALLADOLID;2-0;0-0;5.4;6.9;5.5;60;40;5;6;18;7;4;23;88;14;20;12;2;0;0;1;3;7;3;8;19;74;7;19;8;1;0;0
LEVANTE;EIBAR;0-0;0-0;3.2;6.1;6.2;58;42;5;4;13;4;6;27;76;18;15;9;0;0;0;12;4;18;2;7;23;70;23;14;11;2;0;0
ATLETICO MADRID;CELTA;0-0;0-0;3.3;6.7;5.9;49;51;10;5;20;5;13;22;85;24;17;14;3;0;0;1;3;6;2;3;18;83;28;23;12;5;0;0
GRANADA;BARCELONA;2-0;1-0;3.9;7.4;5.2;26;74;5;4;9;0;4;15;65;12;15;22;3;0;0;1;1;8;6;5;27;88;9;6;12;2;0;0
GETAFE;MALLORCA;4-2;2-0;7.6;6.5;4.5;49;51;5;5;14;4;7;22;60;28;9;15;4;0;0;2;3;7;2;2;29;64;23;16;17;5;0;0
